epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2476.28,0.90118,0.74676,1.05486,0.90402,0.80684,0.88351,0.73153,0.7356,0.53479,0.93499,3.6533e-05,3.6533e-05,3.6533e-05
72,2509.37,0.80714,0.69368,1.02938,0.90543,0.80784,0.88443,0.73158,0.73429,0.53395,0.93462,3.53549e-05,3.53549e-05,3.53549e-05
73,2543.13,0.84974,0.691,1.04764,0.90051,0.81523,0.88509,0.73489,0.72957,0.53041,0.93232,3.41768e-05,3.41768e-05,3.41768e-05
74,2577.49,0.82278,0.69309,1.01857,0.89414,0.82001,0.88593,0.73922,0.72506,0.52841,0.92985,3.29987e-05,3.29987e-05,3.29987e-05
75,2611.63,0.85968,0.70041,1.03364,0.89448,0.8186,0.8852,0.74063,0.72224,0.52569,0.92878,3.18206e-05,3.18206e-05,3.18206e-05
76,2645.88,0.86973,0.6921,1.02543,0.89627,0.81944,0.8858,0.73898,0.71811,0.52431,0.92701,3.06425e-05,3.06425e-05,3.06425e-05
77,2679.55,0.84043,0.69526,1.04852,0.89936,0.81728,0.88385,0.74213,0.7159,0.52448,0.92603,2.94644e-05,2.94644e-05,2.94644e-05
78,2712.43,0.8066,0.69637,1.04204,0.9069,0.82292,0.89198,0.74528,0.71395,0.52308,0.92488,2.82863e-05,2.82863e-05,2.82863e-05
79,2745.43,0.79806,0.66881,1.00502,0.91103,0.81928,0.89197,0.74591,0.71339,0.52194,0.92413,2.71082e-05,2.71082e-05,2.71082e-05
80,2778.44,0.85423,0.75384,1.04377,0.90645,0.82183,0.89297,0.74491,0.71398,0.5209,0.92369,2.59301e-05,2.59301e-05,2.59301e-05
81,2811.49,0.81348,0.67413,1.01307,0.91042,0.82126,0.89365,0.74266,0.71277,0.51919,0.92335,2.4752e-05,2.4752e-05,2.4752e-05
82,2844.04,0.83673,0.69282,1.02521,0.91676,0.8182,0.89433,0.74386,0.71236,0.51923,0.92309,2.35739e-05,2.35739e-05,2.35739e-05
83,2877.07,0.84046,0.69712,1.03948,0.90935,0.82151,0.89475,0.74476,0.71173,0.51943,0.92284,2.23958e-05,2.23958e-05,2.23958e-05
84,2910.06,0.87881,0.7,1.02528,0.9049,0.82687,0.89476,0.74535,0.71077,0.51835,0.92247,2.12177e-05,2.12177e-05,2.12177e-05
85,2943.17,0.84148,0.67843,1.00952,0.89848,0.82715,0.89553,0.74477,0.70969,0.51974,0.92225,2.00396e-05,2.00396e-05,2.00396e-05
86,2976.09,0.84252,0.69679,1.02403,0.90143,0.83034,0.89528,0.74356,0.70863,0.52067,0.92191,1.88615e-05,1.88615e-05,1.88615e-05
87,3009.89,0.84264,0.69584,1.04606,0.90287,0.83558,0.89521,0.74361,0.70747,0.52146,0.92155,1.76834e-05,1.76834e-05,1.76834e-05
88,3043.77,0.82631,0.68152,1.03446,0.90755,0.83278,0.89451,0.74435,0.70789,0.52161,0.92126,1.65053e-05,1.65053e-05,1.65053e-05
89,3077.64,0.86757,0.7087,1.04036,0.90924,0.833,0.89477,0.74545,0.70747,0.52124,0.92096,1.53272e-05,1.53272e-05,1.53272e-05
90,3111.94,0.84041,0.69002,1.0328,0.90078,0.8261,0.88855,0.74501,0.70748,0.52111,0.92091,1.41491e-05,1.41491e-05,1.41491e-05
91,3146.65,0.87215,0.72804,1.01376,0.88665,0.82398,0.88531,0.73878,0.71224,0.5254,0.92131,1.2971e-05,1.2971e-05,1.2971e-05
92,3179.81,0.88797,0.75331,1.00803,0.88471,0.81852,0.88305,0.73599,0.71977,0.53108,0.92311,1.17929e-05,1.17929e-05,1.17929e-05
93,3212.22,0.87965,0.75696,1.00385,0.88515,0.81224,0.87991,0.73212,0.72942,0.5379,0.92631,1.06148e-05,1.06148e-05,1.06148e-05
94,3244.8,0.82261,0.70769,0.99372,0.87337,0.81517,0.88101,0.73042,0.73374,0.54242,0.92775,9.4367e-06,9.4367e-06,9.4367e-06
95,3277.55,0.86472,0.72922,1.0045,0.87108,0.81371,0.87974,0.72687,0.7387,0.5466,0.92875,8.2586e-06,8.2586e-06,8.2586e-06
96,3310.01,0.83432,0.68638,0.99514,0.8665,0.81503,0.87947,0.72871,0.74,0.54803,0.92864,7.0805e-06,7.0805e-06,7.0805e-06
97,3342.34,0.8194,0.70127,0.98245,0.87593,0.80868,0.87855,0.72599,0.74343,0.55156,0.92975,5.9024e-06,5.9024e-06,5.9024e-06
98,3374.98,0.81591,0.65321,0.99501,0.87581,0.80653,0.87712,0.72711,0.74408,0.55162,0.93003,4.7243e-06,4.7243e-06,4.7243e-06
99,3407.12,0.82401,0.67051,0.98878,0.86467,0.81419,0.87707,0.72453,0.74702,0.55354,0.93083,3.5462e-06,3.5462e-06,3.5462e-06
100,3439.54,0.83404,0.68921,0.97476,0.86656,0.81277,0.87713,0.7247,0.75073,0.55641,0.93202,2.3681e-06,2.3681e-06,2.3681e-06
